o,h,l,c,v,qav,num_trades,EMA_7,EMA_25,EMA_99,MACD,Signal_Line,MACD_above_Signal,MACD_diff_Signal,RSI,Middle_Band,STD,Upper_Band,Lower_Band
283.13,302.78,283.0,302.78,608.61377,178082.3393155,336.0,314.23726107541734,329.1088319517488,330.710839198028,-6.875635486147075,-0.8542122974550909,0,-6.021423188691984,42.384926865548294,333.602,28.913794850063834,391.4295897001276,275.77441029987233
299.2,301.99,294.77,295.56,247.92173,74365.3523677,436.0,309.567945806563,326.5281525708451,330.00782241406745,-8.509003463338274,-2.3851705306317275,0,-6.123832932706547,40.03598004742824,333.0285,29.574782692621568,392.17806538524314,273.8789346147569
304.06,305.22,286.01,295.07,698.70823,206524.0128771,927.0,305.94345935492225,324.10829468078015,329.3090659657861,-9.730827337623907,-3.8543018920301635,0,-5.876525445593744,33.69530933177127,331.85350000000005,30.627537192429998,393.10857438486005,270.59842561514006
266.93,278.24,264.95,266.1,816.20735,221472.7629261,449.0,295.98259451619174,319.646118166874,328.04488464647034,-12.888201286564197,-5.6610817709369705,0,-7.227119515627226,25.042560435818842,329.097,33.93614190458926,396.9692838091785,261.2247161908215
241.95,244.99,221.5,234.22,2018.08109,472085.0134708,1562.0,280.5419458871438,313.0748783078837,326.1683869535409,-17.758187129334317,-8.08050284261644,0,-9.677684286717877,21.736840124920036,324.3725,40.02410469428323,404.4207093885665,244.32429061143353
257.03,267.69,235.03,259.01,1888.29606,471486.3685991,1361.0,275.15895941535786,308.9160415149696,324.8252192144701,-19.393780742566435,-10.34315842260644,0,-9.050622319959995,27.508451538702815,320.7635,42.5514738782398,405.8664477564796,235.66055224352044
244.0,257.0,243.0,246.62,1024.07932,254464.7900193,1114.0,268.0242195615184,304.12403832151045,323.2611148301807,-21.44259305216343,-12.56304534851784,0,-8.879547703645592,31.901220596556442,316.1125,45.36995932564326,406.85241865128654,225.37258134871348
253.0,264.39,252.01,262.06,760.55003,196745.6680578,1018.0,266.5331646711388,300.88834306600967,322.0370925335771,-21.571746935156398,-14.364785665845552,0,-7.206961269310845,34.1861646029452,312.0005,46.39600578033003,404.79251156066005,219.20848843933993
290.11,293.87,285.1,288.0,115.94574,33442.6187648,170.0,271.8998735033541,299.896932060932,321.35635068290554,-19.35781625163054,-15.363391783002552,0,-3.9944244686279866,48.209050350541744,308.0285,44.772023604384636,397.57254720876927,218.48445279123075
289.44,289.96,282.0,282.0,236.76833,68005.5026512,292.0,274.42490512751556,298.52024497932183,320.56922366924744,-17.881285758821093,-15.866970578166262,0,-2.0143151806548314,41.74107142857143,302.9595,41.40422486388246,385.7679497277649,220.15105027223507
291.0,293.94,288.0,288.0,84.90224,24721.5778428,181.0,277.81867884563667,297.7109953655278,319.9178391958625,-16.042052059225966,-15.901986874378203,0,-0.14006518484776365,38.74413257974902,298.137,36.77087077966379,371.6787415593276,224.5952584406724
270.77,270.8,255.02,260.87,513.98788,135290.9611695,611.0,273.58150913422753,294.87707264510266,318.7368824119452,-16.582458111574738,-16.038081121817513,0,-0.5443769897572253,34.504969500490546,291.77650000000006,30.932701700202,353.64190340040403,229.91109659959605
254.88,259.99,254.88,259.99,106.84895,27399.585744,163.0,270.1836318506706,292.1934516724025,317.56194476370626,-16.887078715419875,-16.207880640537986,0,-0.6791980748818887,41.302016849629815,287.967,29.848982720918304,347.6649654418366,228.26903455816338
278.21,285.0,277.07,283.0,1044.0681,293521.3990043,1456.0,273.38772388800294,291.4862630822177,316.87070586843214,-15.097740684638495,-15.98585264935809,1,0.8881119647195952,46.32050803137841,284.9655,26.892408139218606,338.75031627843725,231.18068372156281
285.5,287.14,277.06,284.99,614.92976,174027.8954723,928.0,276.2882929160022,290.98655053743175,316.23309175106345,-13.365037205426404,-15.461689560571754,1,2.09665235514535,45.80681657474191,284.3935,26.757048117222567,337.9075962344451,230.87940376555488
295.06,299.0,291.03,294.43,1094.81257,322606.2942652,1681.0,280.82371968700164,291.2514312653216,315.79702991604216,-11.10214944016991,-14.589781536491385,1,3.487632096321475,49.73641240961046,283.202,25.67842727599213,334.55885455198427,231.84514544801573
289.54,291.0,286.46,287.55,675.06724,195002.0786178,1037.0,282.50528976525123,290.96670578337387,315.2320893177213,-9.751543362659277,-13.622133901724965,1,3.870590539065688,48.2966385793241,280.8295,22.654786986883106,326.1390739737662,235.51992602623378
299.84,309.39,297.01,308.64,878.20414,265673.3004348,1321.0,289.03896732393844,292.3261899538836,315.1002475313669,-6.899854346231791,-12.277677990626332,1,5.377823644394541,59.9924833223715,279.5855,20.154315843145326,319.8941316862907,239.27686831370937
299.42,303.61,298.0,298.0,769.13689,231402.9103659,1584.0,291.27922549295386,292.76263688050796,314.75824258073953,-5.435769169871378,-10.909296226475341,1,5.473527056603963,66.64231291096964,279.78249999999997,20.321804435785506,320.426108871571,239.13889112842895
