o,h,l,c,v,qav,num_trades
1.5,1.799,0.5,1.7,649.12,725.12142,33.0
1.3,1.681,1.3,1.625,52482.55,83759.739135,357.0
1.6011,1.676,1.58,1.6288,21742.42,35135.216283,147.0
1.6288,1.6288,1.5645,1.6148,22186.53,35352.202964,167.0
1.6148,1.631,1.5645,1.5868,11769.81,18659.767745,132.0
1.5948,1.598,1.55,1.571,11784.91,18496.288002,82.0
1.571,1.6188,1.5389,1.6188,8357.26,13020.305392,77.0
1.6184,1.6188,1.5548,1.5705,14243.17,22617.071512,85.0
1.59,1.6184,1.5548,1.5864,4580.82,7303.717374,59.0
1.6183,1.7885,1.5801,1.7353,60503.3,101429.650482,348.0
1.7191,1.799,1.6593,1.799,35369.35,60989.326593,180.0
1.79,1.8,1.7196,1.8,11075.83,19411.659616,102.0
1.7901,1.946,1.7479,1.81,47473.55,87225.154895,211.0
1.8891,1.99,1.8235,1.8631,40976.62,77970.426384,665.0
1.9448,1.9448,1.8736,1.8736,15005.49,28405.26531,141.0
1.87,1.93,1.821,1.93,34977.71,65671.32963,232.0
1.9249,1.99,1.78,1.95,98567.79,188116.510941,480.0
1.91,1.99,1.875,1.9889,110289.1,213800.104352,395.0
1.9781,2.05,1.9,2.05,44788.84,88409.344707,227.0
1.96,2.0295,1.96,2.0182,14802.42,29682.369595,116.0
2.0182,2.07,1.9704,2.0001,71318.93,143655.533795,301.0
2.0599,2.1997,2.0118,2.0711,88775.93,187715.201434,343.0
2.11,2.1302,2.08,2.1294,18489.24,38884.010991,167.0
2.1279,2.1279,1.9,1.99,48861.84,97466.365182,178.0
1.99,2.02,1.9,1.9498,71306.59,140113.633196,315.0
1.94,1.9497,1.8923,1.895,29827.82,56871.143388,177.0
1.9459,2.0101,1.7998,1.7998,117299.01,223408.73644,374.0
1.7998,1.825,1.6631,1.7723,136862.79,238480.032159,405.0
1.744,1.89,1.6168,1.6501,68685.37,118317.520675,314.0
1.67,1.8799,1.6019,1.7133,60677.32,108685.799342,176.0
1.79,1.925,1.79,1.8799,72502.12,136231.569929,255.0
1.9178,1.9179,1.8001,1.848,20262.65,37657.616629,86.0
1.8023,1.8471,1.69,1.7304,35696.29,63383.280279,144.0
1.7304,1.7304,1.58,1.6,98239.69,162328.116422,536.0
1.65,1.7,1.58,1.7,16008.73,25782.297606,104.0
1.6521,1.7,1.6401,1.655,16128.89,26962.889304,98.0
1.6567,1.6567,1.5,1.53,106506.67,165491.251942,447.0
1.51,1.62,1.34,1.5302,185149.27,277337.557039,559.0
1.5676,1.7,1.51,1.5851,51113.99,82683.51801,324.0
1.6003,1.6792,1.5313,1.575,65510.92,104347.72394,237.0
1.575,1.6389,1.5058,1.5879,29029.66,44721.793671,122.0
1.5879,1.6,1.45,1.49,19849.21,30321.145037,94.0
1.5,1.6,1.5,1.5995,6220.64,9873.860338,55.0
1.5995,1.65,1.5406,1.5933,51807.58,82957.001578,358.0
1.6298,1.7381,1.6,1.71,41689.62,69649.249386,283.0
1.7039,1.7097,1.6428,1.6748,38378.55,64118.632916,334.0
1.6741,1.6999,1.6,1.6408,19474.73,31656.283874,194.0
1.6628,1.6893,1.6201,1.68,9199.61,15341.295096,72.0
1.6801,1.7381,1.65,1.694,30422.31,51303.359599,205.0
1.6755,1.6947,1.66,1.6613,16895.23,28232.197935,85.0
1.6688,1.6688,1.56,1.5898,61114.16,98170.558099,349.0
1.5898,1.6277,1.5321,1.5899,35768.49,55872.251353,233.0
1.58,1.6181,1.5553,1.5976,16714.19,26577.623308,135.0
1.5976,1.6181,1.5553,1.5911,16332.07,25699.485406,105.0
1.5721,1.633,1.563,1.5992,31951.14,50987.240188,221.0
1.5991,1.5992,1.5604,1.5968,26723.59,42262.751438,200.0
1.5959,1.6794,1.555,1.5806,41014.14,65522.101717,286.0
1.5806,1.5837,1.5001,1.5004,116801.03,178960.535377,428.0
