o,h,l,c,v,qav,num_trades
4005.99,4042.11,3918.8,4027.05,24.46693,97897.65595292,330.0
4027.05,4070.49,3950.0,4016.0,101.221748,407181.34061487,578.0
4016.0,4016.0,3688.97,3862.39,114.685346,442744.57170483,731.0
3863.0,3868.57,3400.0,3798.08,167.221519,627645.60716665,935.0
3798.08,3920.31,3750.08,3866.48,221.731236,854175.43470761,1466.0
3866.48,3990.12,3786.81,3858.23,179.358421,698287.50405772,1471.0
3858.23,4104.82,3853.47,3984.24,159.535655,634541.12778918,1017.0
3984.5,4061.54,3944.03,4040.0,124.152681,495111.52671452,874.0
4040.0,4127.99,4013.89,4100.41,159.658384,651005.60763807,997.0
4084.54,4115.87,4035.32,4074.88,141.839603,578320.10546274,1111.0
4081.63,4242.32,4057.0,4237.99,135.024022,562615.54910386,1053.0
4205.98,4265.8,4150.65,4197.05,237.360569,997806.79953809,2601.0
4226.94,4259.58,4103.51,4117.07,174.637585,731256.24764675,1856.0
4136.48,4178.65,4069.8,4114.01,152.616402,627682.15643017,1011.0
4147.0,4204.55,4085.01,4113.58,123.52015,511550.36438993,903.0
4113.58,4177.64,4090.39,4153.32,123.17946,509864.53980426,789.0
4153.8,4250.94,4150.0,4202.0,171.486488,718060.12124621,1714.0
4211.78,4250.9,4136.33,4222.0,146.997342,615368.84552887,1264.0
4223.06,4250.77,4178.22,4216.07,111.579358,469850.39412688,839.0
4216.1,4371.68,4193.17,4316.01,110.655955,471782.14806861,738.0
4316.01,4370.0,4295.75,4312.69,141.104526,611984.04895229,1511.0
4312.69,4362.0,4267.5,4329.0,101.509543,437863.45460033,925.0
4317.81,4361.28,4298.74,4361.27,74.43306,322437.97728068,694.0
4361.27,4422.29,4261.13,4394.36,164.206656,710205.00769493,2407.0
4394.36,4453.91,4284.11,4307.17,52.39933,230331.5071367,518.0
4326.0,4365.0,4247.48,4280.68,39.959625,171815.35369834,499.0
4280.71,4315.0,4228.99,4297.94,41.638568,178220.54844697,425.0
4297.94,4319.7,4252.44,4319.7,28.707288,123253.55557526,264.0
4319.7,4319.7,4260.88,4288.72,36.153081,155418.86316773,242.0
4288.72,4306.74,4221.14,4275.0,34.654984,147798.52539778,364.0
4275.0,4351.32,4212.41,4293.52,47.431108,202533.71619518,550.0
4293.52,4367.0,4279.0,4337.44,39.523039,170640.52454918,415.0
4332.51,4400.0,4314.91,4314.91,62.980388,274219.29999526,731.0
4329.19,4370.85,4293.42,4313.84,47.478199,205503.40860345,500.0
4331.29,4352.34,4285.56,4323.37,57.138682,246810.84707828,863.0
4340.0,4340.0,4285.54,4325.0,35.277424,152269.97962719,448.0
