o,h,l,c,v,qav,num_trades
334.34,342.72,316.82,329.71,1715.07272,569920.2927121,797.0
332.27,332.74,316.12,323.29,457.17851,148883.6258439,403.0
321.04,330.41,280.0,280.0,809.61524,257673.9634469,722.0
144.21,310.24,144.21,300.35,707.47249,210310.1205076,776.0
300.35,313.16,296.0,308.03,2176.12505,666105.6986715,1482.0
311.16,311.24,301.48,308.39,1756.8306,540204.5904187,1612.0
305.08,320.76,305.08,307.03,1304.2511,408170.1190835,1071.0
307.03,313.99,305.08,309.8,1202.0564,371961.3111855,914.0
312.25,319.78,309.41,317.26,1088.33347,341746.6220416,979.0
315.45,324.99,315.35,319.06,1376.06321,440244.7944379,1114.0
319.06,324.51,318.02,319.2,1285.87403,412512.5183367,1066.0
319.2,322.0,313.75,319.2,2106.38559,667166.2692483,2560.0
317.87,322.34,315.53,318.57,1635.49673,520572.1007219,1921.0
318.57,320.2,312.05,315.74,1173.57266,371222.6402544,900.0
315.74,318.45,314.01,315.22,1061.17398,335440.9332382,909.0
315.22,322.36,314.31,318.54,1074.07592,341646.9327902,898.0
318.54,323.61,316.14,323.61,1670.50319,532991.5709206,1657.0
322.51,328.04,317.9,321.2,1138.04846,366358.3770851,1325.0
323.67,325.35,318.97,321.23,909.12592,292864.2247642,866.0
321.23,326.33,318.97,323.42,900.34445,290115.0753554,840.0
323.42,330.44,323.42,326.55,1406.8485,459116.5390442,1553.0
326.55,335.0,326.55,330.29,1115.60692,369187.3435858,1015.0
330.29,335.41,327.4,331.26,1199.42604,396584.5435174,946.0
329.68,335.33,328.72,333.15,1961.178,651830.8800525,2534.0
335.29,338.28,325.42,328.71,751.25954,250215.0180516,703.0
329.91,332.27,324.9,327.24,691.65062,227227.7140425,701.0
327.24,332.27,323.41,323.46,569.57801,186192.6597812,669.0
323.46,329.69,323.41,327.9,1070.6985,348905.0036307,752.0
328.45,331.25,326.69,327.89,856.541,281625.5336969,704.0
328.25,335.44,324.06,327.0,940.58482,309311.3354243,759.0
327.01,334.17,326.7,331.19,803.00095,264634.2610997,946.0
332.68,334.17,329.33,330.79,637.28193,211325.5836838,570.0
332.18,338.28,330.79,331.62,1056.62234,352807.9315293,1063.0
334.5,338.29,331.49,332.77,689.1668,230458.1759741,825.0
332.77,338.42,330.73,333.94,857.24989,286668.4148984,1075.0
333.93,336.99,331.88,334.67,665.54231,222379.461745,722.0
335.04,341.47,332.97,339.64,795.13177,267858.0880371,710.0
341.47,348.13,337.12,348.13,571.72404,194305.2859764,578.0
348.11,351.0,343.44,343.44,740.63428,256788.4196689,798.0
343.43,343.69,331.95,338.77,1139.94898,385140.9572799,1142.0
340.89,342.86,336.54,341.9,636.04761,215944.2580237,646.0
339.62,347.41,339.34,341.83,587.29518,201555.7201468,729.0
341.83,347.42,340.49,344.3,759.06227,260744.5897698,743.0
342.54,348.5,342.16,346.0,416.19338,143584.224215,468.0
347.0,353.23,346.0,350.03,276.84576,96919.4161415,427.0
351.19,360.79,350.02,354.18,381.6272,136061.1443351,460.0
354.17,367.13,354.01,356.75,463.44028,167344.6792144,588.0
358.1,367.4,358.1,364.57,737.9557,268017.1845437,671.0
365.74,373.66,362.79,367.44,694.84255,256043.2519507,629.0
367.44,377.6,367.36,374.7,477.42276,177683.9443955,490.0
374.7,377.8,367.37,373.0,344.29846,128183.3304733,577.0
373.0,393.71,372.92,378.14,452.43879,173898.6896342,464.0
378.16,384.33,362.05,375.9,1349.92146,499901.7837801,1317.0
373.01,385.33,370.49,379.38,1027.5116,388806.5153587,1153.0
379.38,389.8,378.72,383.38,678.10192,260552.8162492,669.0
385.34,387.29,380.74,385.93,594.32385,228183.077016,632.0
384.64,384.64,377.78,383.51,676.3998,258312.2502967,816.0
383.66,385.94,379.21,383.14,482.67689,184822.1479978,462.0
381.89,387.42,378.85,387.42,788.3641,301074.6978101,712.0
385.82,389.36,383.48,383.76,905.28394,350078.6385362,1000.0
384.38,387.39,383.13,384.45,878.88372,338377.8220518,857.0
385.1,388.25,383.19,384.79,704.2601,271775.837574,727.0
386.44,394.39,384.79,390.86,752.09698,293527.7257306,756.0
392.65,394.27,383.18,388.4,754.44472,292784.9902432,611.0
389.48,393.08,387.46,389.64,865.19825,337564.1476169,793.0
389.56,391.2,385.88,387.01,827.84309,322013.5838791,768.0
387.91,393.4,386.05,388.08,797.61671,310631.4616971,864.0
389.62,394.02,388.08,388.46,201.48459,78705.7045992,332.0
388.58,394.32,373.66,378.52,916.21546,351390.289536,1049.0
378.51,379.6,347.0,363.7,1906.75794,694816.5411107,2006.0
364.83,364.84,350.42,357.0,1296.25993,462342.3215496,1140.0
358.25,360.28,327.09,341.72,1569.16565,539959.2427992,1422.0
341.72,345.27,329.73,336.18,1353.98239,458884.6373623,1146.0
338.08,343.15,320.08,343.14,1197.94587,396615.4290283,1454.0
343.56,352.67,340.2,348.85,1014.47822,352245.5430068,1199.0
348.85,367.28,348.84,357.81,697.53237,249850.6617473,921.0
357.82,363.45,334.75,336.54,1200.03896,418236.6508767,1242.0
337.69,348.22,320.08,329.34,1590.16682,525484.0706724,1566.0
329.35,347.73,328.3,343.03,451.76818,152993.7334818,653.0
343.61,347.68,337.35,341.77,299.63756,102891.9580179,572.0
339.29,344.55,328.27,329.62,348.0023,116665.3686696,666.0
329.62,339.26,270.38,275.01,1369.08087,430625.4597625,1343.0
284.51,314.27,270.0,289.93,2246.11858,665590.6939016,1833.0
286.35,298.18,267.94,269.54,1435.02347,405785.7446336,1736.0
268.93,302.55,268.2,296.43,660.72272,182844.854472,820.0
299.04,312.92,282.36,283.77,678.86267,200934.0603627,1005.0
286.81,298.74,235.55,271.12,2602.05439,701237.9733535,2270.0
269.61,297.25,268.11,296.52,1541.68659,435039.528468,1815.0
296.56,299.64,282.52,295.98,1497.65197,438212.447789,1630.0
295.79,304.99,289.1,291.66,1281.64552,383154.3732846,1506.0
290.07,321.52,285.94,318.26,677.80125,206550.5383736,892.0
318.71,320.45,309.76,312.09,743.57952,233296.0565699,886.0
313.29,333.12,312.09,325.73,1625.39279,530724.2430838,1959.0
325.55,328.06,314.76,318.53,886.19577,283348.0100734,1354.0
320.31,335.02,319.02,335.02,1046.05074,343282.0377594,1461.0
331.73,335.24,321.01,335.0,1719.35362,566466.2259252,2282.0
333.365,335.78999999999996,328.005,335.0,964.33529,318304.2837914,1157.5
335.0,336.34,335.0,335.0,209.31696,70142.3416576,33.0
335.01,335.01,320.35,326.59,695.13817,227553.3155186,303.0
326.59,330.45,321.31,323.57,257.51863,84032.8954003,247.0
323.57,332.53,320.17,329.94,470.73116,153691.8174362,498.0
329.94,338.38,327.79,337.0,963.8723,321679.3506356,897.0
337.0,342.5,328.81,333.52,522.99046,175330.1275661,403.0
334.77,338.35,329.15,334.49,193.64673,64848.1803956,287.0
334.49,335.1,326.79,330.0,380.72444,126163.1223411,376.0
329.35,331.68,324.72,329.57,297.62059,98022.826152,278.0
329.57,333.76,329.57,331.53,288.20259,95607.2551523,342.0
330.1,331.57,272.0,294.05,2343.12862,697143.6912602,1138.0
294.06,310.46,280.8,294.06,899.60081,269289.7879156,560.0
294.06,306.9,281.52,302.99,706.47988,208083.2037951,533.0
300.01,302.0,286.96,292.31,794.06721,233627.2874558,598.0
292.31,306.42,281.66,299.68,471.38503,140508.5699085,369.0
301.0,303.0,295.0,303.0,233.06016,69846.1674706,187.0
300.83,307.0,295.01,298.98,521.54298,156503.7349995,363.0
298.61,298.98,285.17,298.76,372.28872,109283.259656,239.0
298.62,302.77,294.56,296.74,348.24412,103981.3394455,200.0
296.72,299.0,281.51,290.58,564.96572,165673.5240655,393.0
285.67,291.0,261.03,276.86,1045.20535,288474.9504475,694.0
276.86,287.05,265.0,280.22,1134.57261,317473.6127752,462.0
281.8,288.0,279.98,283.2,483.87901,137485.8305944,294.0
283.13,302.78,283.0,302.78,608.61377,178082.3393155,336.0
302.78,302.78,291.87,293.5,319.21453,94713.5150018,315.0
293.51,304.98,285.21,301.76,2013.88975,603430.1832571,1044.0
301.73,304.89,286.82,293.96,1475.9681,436466.180496,832.0
293.35,297.36,288.98,294.46,385.84526,113074.8592056,436.0
293.44,300.97,292.16,299.2,552.72849,164142.7496592,467.0
299.2,301.99,294.77,295.56,247.92173,74365.3523677,436.0
296.17,297.74,293.38,297.3,153.29314,45332.4911713,275.0
297.78,304.41,297.51,304.41,1075.62978,324391.9445956,924.0
303.01,316.46,302.62,314.15,1060.98838,328154.1847533,1262.0
313.7,313.7,302.32,310.95,782.33129,240995.4057184,672.0
311.25,311.81,300.0,304.21,1403.04238,427646.4170948,1243.0
304.06,305.22,286.01,295.07,698.70823,206524.0128771,927.0
293.82,297.66,291.42,293.96,155.61396,45740.4474127,251.0
293.93,294.5,275.0,275.0,1088.34772,311197.8366725,963.0
276.5,283.74,267.0,277.83,765.54219,210684.319615,576.0
278.55,280.63,262.0,263.84,1453.0078,393534.0663272,858.0
263.26,274.21,257.05,266.93,1715.55432,454752.6251622,1397.0
266.93,278.24,264.95,266.1,816.20735,221472.7629261,449.0
269.1,282.77,268.01,276.91,612.56898,169439.2869039,284.0
275.76,283.77,270.0,270.0,730.37941,202004.4891354,358.0
270.0,275.0,266.95,270.85,640.59746,173418.2336615,533.0
270.85,273.0,238.34,238.39,3489.3471,902723.0187455,2084.0
238.43,253.01,229.77,243.48,3489.76076,849654.6354343,2083.0
241.95,244.99,221.5,234.22,2018.08109,472085.0134708,1562.0
234.22,240.49,215.0,215.21,2233.79094,510882.3901172,1546.0
217.0,243.96,212.11,234.0,2143.814,496139.9373649,1514.0
234.53,235.0,212.11,220.0,1948.03386,435177.9211605,1269.0
218.93,225.91,192.0,199.28,2766.15251,570805.8244453,1548.0
199.28,270.93,195.09,262.28,4298.87988,1041944.5316645,2464.0
257.03,267.69,235.03,259.01,1888.29606,471486.3685991,1361.0
259.01,263.4,252.85,253.0,1178.71899,303757.2435007,1042.0
255.99,269.99,250.0,259.0,1978.90843,519054.6437779,1686.0
258.99,271.81,256.0,263.55,2328.28181,612922.8596036,1756.0
263.55,268.72,235.51,249.99,2955.2314,744449.0146087,2019.0
249.99,258.19,242.3,243.0,1579.13798,392243.6272554,1498.0
244.0,257.0,243.0,246.62,1024.07932,254464.7900193,1114.0
252.26,256.0,245.75,249.31,496.42117,124017.4371059,786.0
249.32,252.54,244.0,245.02,817.74484,202640.7321384,901.0
245.02,249.97,242.0,242.09,689.05614,168407.0128283,852.0
242.1,246.0,239.02,242.84,954.31064,231336.4463367,903.0
241.27,254.0,240.05,253.25,959.04645,237938.8220619,947.0
253.0,264.39,252.01,262.06,760.55003,196745.6680578,1018.0
262.21,263.97,257.0,257.55,433.82527,112635.6135063,656.0
257.53,285.01,257.11,282.0,1231.17685,338493.4420407,1040.0
283.0,299.0,278.88,289.05,910.52775,262270.2340376,667.0
291.0,291.0,279.61,288.88,409.25942,117240.6513687,347.0
288.88,306.22,285.06,290.87,1369.73879,405332.7359949,1077.0
290.11,293.87,285.1,288.0,115.94574,33442.6187648,170.0
289.0,296.0,289.0,294.57,89.32196,26157.9513673,139.0
296.0,300.0,287.0,289.87,340.59886,98902.3026158,346.0
288.01,289.84,277.41,277.41,449.50527,127939.7021806,408.0
279.65,294.99,279.65,289.0,346.3444,99529.1622624,190.0
286.0,290.0,284.0,289.98,260.13781,74675.7322149,346.0
289.44,289.96,282.0,282.0,236.76833,68005.5026512,292.0
282.0,286.98,278.0,284.0,236.55385,66721.1632752,314.0
284.01,284.96,280.0,281.0,230.6785,65051.7679236,202.0
280.02,288.0,275.91,288.0,165.8878,46526.7119266,257.0
286.09,286.91,280.98,284.05,149.50263,42560.8286787,201.0
283.99,294.0,283.99,291.01,346.22237,99957.9104025,417.0
291.0,293.94,288.0,288.0,84.90224,24721.5778428,181.0
289.0,290.0,282.0,282.0,83.3738,23920.9369789,173.0
285.1,286.0,280.01,280.01,209.78698,59054.5604861,318.0
280.0,285.0,278.05,285.0,128.26039,36064.0657446,214.0
285.0,287.0,282.09,282.83,154.72323,43773.2559407,282.0
282.65,284.11,265.5,267.02,543.28548,148919.9830166,782.0
270.77,270.8,255.02,260.87,513.98788,135290.9611695,611.0
257.99,264.43,252.1,257.0,362.51187,93090.3707033,544.0
258.0,268.0,258.0,268.0,370.89952,97329.9865207,355.0
265.07,272.97,263.32,263.32,271.93668,72994.5428121,385.0
263.32,264.79,253.5,254.22,224.71564,58403.8729577,329.0
256.36,262.01,253.01,253.01,362.84121,93507.1465364,619.0
254.88,259.99,254.88,259.99,106.84895,27399.585744,163.0
259.99,266.61,259.5,264.0,127.2705,33327.0833721,293.0
259.99,263.99,255.11,263.0,135.50806,35066.7800717,155.0
262.0,268.7,261.34,265.27,119.83588,31849.5585272,242.0
266.99,282.83,266.99,282.8,281.93736,77753.9453879,333.0
282.8,283.09,275.55,280.0,163.90341,45969.3354685,299.0
278.21,285.0,277.07,283.0,1044.0681,293521.3990043,1456.0
281.3,286.23,278.77,285.93,1079.08291,304649.3059643,1416.0
286.5,294.61,282.44,293.19,963.58239,278716.4864132,1261.0
293.19,293.19,275.0,278.5,1617.41514,457319.7206617,1917.0
278.95,282.95,277.95,280.47,947.05849,264999.882117,1482.0
280.51,288.18,280.4,284.84,969.79397,276194.3449277,1446.0
285.5,287.14,277.06,284.99,614.92976,174027.8954723,928.0
285.0,287.0,281.96,282.0,462.76447,131619.157541,988.0
282.0,290.8,281.34,285.32,1143.94241,326936.781025,1440.0
285.02,291.3,285.02,289.5,970.67838,280439.9108492,1500.0
289.5,290.9,287.06,288.13,855.93907,247162.5349982,1471.0
288.0,297.12,287.0,295.0,1255.45033,365997.9746594,2018.0
295.06,299.0,291.03,294.43,1094.81257,322606.2942652,1681.0
294.47,297.51,292.81,294.42,549.65759,162408.4963048,1055.0
294.42,296.81,291.25,291.26,833.37745,245822.5023721,1393.0
291.51,295.47,287.94,293.5,785.2936,229131.8618302,1418.0
293.0,294.99,289.56,292.82,922.53081,269667.7532533,1510.0
292.82,295.52,289.53,289.54,721.15236,210527.2570635,914.0
289.54,291.0,286.46,287.55,675.06724,195002.0786178,1037.0
287.55,290.99,286.24,287.9,629.50658,181973.7123027,1057.0
289.91,292.0,286.13,291.02,697.90881,201699.916143,1133.0
291.02,292.88,289.42,291.0,552.11201,160712.7708472,912.0
289.45,299.0,287.78,295.77,1260.33441,371243.5621338,1875.0
295.71,303.49,294.02,298.68,1353.84499,402963.6938034,1686.0
299.84,309.39,297.01,308.64,878.20414,265673.3004348,1321.0
308.64,313.0,304.89,309.74,775.69946,239603.6310029,1281.0
309.81,310.41,303.05,308.39,1051.29649,322249.4034826,1651.0
308.41,311.81,304.89,305.57,1148.45035,354231.4662381,1811.0
306.17,310.63,300.0,300.7,1838.5791,561647.8347104,2150.0
300.76,304.5,297.73,299.42,975.79858,293608.4855638,1807.0
299.42,303.61,298.0,298.0,769.13689,231402.9103659,1584.0
299.68,304.06,296.89,302.44,817.64781,246093.7883497,1531.0
302.44,303.0,274.0,280.0,3799.87279,1091892.04545,3328.0
280.0,291.0,276.11,290.49,2027.92905,576364.2463422,2439.0
290.47,299.11,285.55,297.01,1835.09054,533481.5693596,1788.0
297.01,302.97,291.01,293.14,1521.09507,451635.2512878,1950.0
293.14,298.6,290.11,292.81,851.76953,251221.7647722,1812.0
292.81,297.1,290.7,292.22,1053.44204,309130.2131861,1781.0
292.62,302.45,292.22,302.01,730.63802,217292.9162601,1267.0
302.0,306.5,296.51,301.01,821.22699,247519.9110365,1892.0
300.02,307.47,298.21,303.57,831.66199,251447.982234,1704.0
303.02,306.0,301.18,304.9,706.03087,214143.1420204,1459.0
305.42,307.49,301.21,304.01,634.20705,193607.9616214,1158.0
304.01,307.4,302.01,304.36,296.84303,90444.9248738,688.0
305.13,305.5,298.08,299.3,798.11708,240121.1964459,1422.0
299.0,301.39,298.08,300.52,870.88727,261011.6445738,1523.0
300.76,302.85,300.0,300.35,595.66006,179046.9587315,1145.0
300.35,301.0,294.0,300.22,1470.35715,437720.7307805,2036.0
300.21,303.31,298.77,302.0,374.10597,112717.8852468,1014.0
302.64,306.0,299.83,303.95,950.93005,288369.8872115,1760.0
303.94,305.0,300.2,301.46,737.57456,222955.1690345,1339.0
301.76,304.87,300.21,302.38,890.96869,269646.134467,1712.0
301.76,304.85,300.0,300.41,699.88817,211382.7540425,1336.0
300.4,301.99,296.71,300.8,733.53568,219729.4402671,1405.0
300.19,301.83,295.0,296.87,430.01301,127571.7876723,1072.0
297.5,299.92,295.73,296.5,218.85736,65215.9393288,590.0
298.15,301.99,296.6,300.99,684.99514,204372.2070055,1471.0
299.41,301.0,290.06,291.77,2055.43645,604877.0006133,2659.0
291.76,293.36,283.18,291.0,1146.78238,330827.3287655,1962.0
292.0,292.99,285.8,291.29,525.51676,152092.7707462,1022.0
291.29,293.0,288.54,291.13,681.25733,198613.8748064,1410.0
290.13,293.7,287.14,292.48,452.86896,131677.5448377,803.0
292.47,295.31,291.02,293.41,820.70729,240704.3903602,935.0
293.41,297.97,292.3,295.89,885.52251,261859.0512397,1261.0
295.89,295.89,290.55,292.58,774.59237,226917.857929,1581.0
