open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1503331200000,4005.99000000,4042.11000000,3918.80000000,4027.05000000,24.46693000,1503345599999,97897.65595292,330,17.92331300,71826.65385753,0
1503345600000,4027.05000000,4070.49000000,3950.00000000,4016.00000000,101.22174800,1503359999999,407181.34061487,578,86.31353100,347191.48752524,0
1503360000000,4016.00000000,4016.00000000,3688.97000000,3862.39000000,114.68534600,1503374399999,442744.57170483,731,79.20673000,306369.37780113,0
1503374400000,3863.00000000,3868.57000000,3400.00000000,3798.08000000,167.22151900,1503388799999,627645.60716665,935,109.43445400,413851.45400960,0
1503388800000,3798.08000000,3920.31000000,3750.08000000,3866.48000000,221.73123600,1503403199999,854175.43470761,1466,138.50272700,532978.70005289,0
1503403200000,3866.48000000,3990.12000000,3786.81000000,3858.23000000,179.35842100,1503417599999,698287.50405772,1471,42.15569300,164971.01764635,0
1503417600000,3858.23000000,4104.82000000,3853.47000000,3984.24000000,159.53565500,1503431999999,634541.12778918,1017,28.13859100,112421.52695131,0
1503432000000,3984.50000000,4061.54000000,3944.03000000,4040.00000000,124.15268100,1503446399999,495111.52671452,874,26.55698600,106596.29288098,0
1503446400000,4040.00000000,4127.99000000,4013.89000000,4100.41000000,159.65838400,1503460799999,651005.60763807,997,23.42049300,95805.17621647,0
1503460800000,4084.54000000,4115.87000000,4035.32000000,4074.88000000,141.83960300,1503475199999,578320.10546274,1111,27.28419900,111713.50015777,0
1503475200000,4081.63000000,4242.32000000,4057.00000000,4237.99000000,135.02402200,1503489599999,562615.54910386,1053,36.19523000,151733.19746311,0
1503489600000,4205.98000000,4265.80000000,4150.65000000,4197.05000000,237.36056900,1503503999999,997806.79953809,2601,128.94771500,543061.81819453,0
1503504000000,4226.94000000,4259.58000000,4103.51000000,4117.07000000,174.63758500,1503518399999,731256.24764675,1856,53.98407800,227813.43154504,0
1503518400000,4136.48000000,4178.65000000,4069.80000000,4114.01000000,152.61640200,1503532799999,627682.15643017,1011,39.58737700,163439.97161771,0
1503532800000,4147.00000000,4204.55000000,4085.01000000,4113.58000000,123.52015000,1503547199999,511550.36438993,903,27.06074300,112391.45240915,0
1503547200000,4113.58000000,4177.64000000,4090.39000000,4153.32000000,123.17946000,1503561599999,509864.53980426,789,21.65614900,89962.47513220,0
1503561600000,4153.80000000,4250.94000000,4150.00000000,4202.00000000,171.48648800,1503575999999,718060.12124621,1714,73.05585000,306499.16391631,0
1503576000000,4211.78000000,4250.90000000,4136.33000000,4222.00000000,146.99734200,1503590399999,615368.84552887,1264,43.38273200,181977.61101503,0
1503590400000,4223.06000000,4250.77000000,4178.22000000,4216.07000000,111.57935800,1503604799999,469850.39412688,839,16.24123000,68603.33868704,0
