open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1503331200000,334.34000000,342.72000000,316.82000000,329.71000000,1715.07272000,1503345599999,569920.29271210,797,1269.93171000,422705.90718440,0
1503345600000,332.27000000,332.74000000,316.12000000,323.29000000,457.17851000,1503359999999,148883.62584390,403,305.75812000,100089.70674040,0
1503360000000,321.04000000,330.41000000,280.00000000,280.00000000,809.61524000,1503374399999,257673.96344690,722,394.31539000,126391.73417660,0
1503374400000,144.21000000,310.24000000,144.21000000,300.35000000,707.47249000,1503388799999,210310.12050760,776,586.53369000,174377.60236650,0
1503388800000,300.35000000,313.16000000,296.00000000,308.03000000,2176.12505000,1503403199999,666105.69867150,1482,1658.87408000,506641.82638870,0
1503403200000,311.16000000,311.24000000,301.48000000,308.39000000,1756.83060000,1503417599999,540204.59041870,1612,829.22258000,255456.25302770,0
1503417600000,305.08000000,320.76000000,305.08000000,307.03000000,1304.25110000,1503431999999,408170.11908350,1071,588.44737000,184557.71367890,0
1503432000000,307.03000000,313.99000000,305.08000000,309.80000000,1202.05640000,1503446399999,371961.31118550,914,376.38821000,117047.35869460,0
1503446400000,312.25000000,319.78000000,309.41000000,317.26000000,1088.33347000,1503460799999,341746.62204160,979,450.69375000,142263.30187380,0
1503460800000,315.45000000,324.99000000,315.35000000,319.06000000,1376.06321000,1503475199999,440244.79443790,1114,463.17818000,148597.70237090,0
1503475200000,319.06000000,324.51000000,318.02000000,319.20000000,1285.87403000,1503489599999,412512.51833670,1066,316.63519000,102056.42139270,0
1503489600000,319.20000000,322.00000000,313.75000000,319.20000000,2106.38559000,1503503999999,667166.26924830,2560,366.97554000,116642.31724530,0
1503504000000,317.87000000,322.34000000,315.53000000,318.57000000,1635.49673000,1503518399999,520572.10072190,1921,433.60926000,138679.39987360,0
1503518400000,318.57000000,320.20000000,312.05000000,315.74000000,1173.57266000,1503532799999,371222.64025440,900,251.14441000,79967.77485860,0
1503532800000,315.74000000,318.45000000,314.01000000,315.22000000,1061.17398000,1503547199999,335440.93323820,909,230.09831000,73112.44838240,0
1503547200000,315.22000000,322.36000000,314.31000000,318.54000000,1074.07592000,1503561599999,341646.93279020,898,422.03713000,134904.53763120,0
1503561600000,318.54000000,323.61000000,316.14000000,323.61000000,1670.50319000,1503575999999,532991.57092060,1657,307.68425000,98430.91698540,0
1503576000000,322.51000000,328.04000000,317.90000000,321.20000000,1138.04846000,1503590399999,366358.37708510,1325,473.30610000,152817.78284390,0
1503590400000,323.67000000,325.35000000,318.97000000,321.23000000,909.12592000,1503604799999,292864.22476420,866,305.48131000,98706.21958680,0
1503604800000,321.23000000,326.33000000,318.97000000,323.42000000,900.34445000,1503619199999,290115.07535540,840,163.29319000,52957.24173820,0
1503619200000,323.42000000,330.44000000,323.42000000,326.55000000,1406.84850000,1503633599999,459116.53904420,1553,527.38862000,172522.12239750,0
1503633600000,326.55000000,335.00000000,326.55000000,330.29000000,1115.60692000,1503647999999,369187.34358580,1015,250.64415000,83172.17913400,0
1503648000000,330.29000000,335.41000000,327.40000000,331.26000000,1199.42604000,1503662399999,396584.54351740,946,407.73581000,134752.80154100,0
1503662400000,329.68000000,335.33000000,328.72000000,333.15000000,1961.17800000,1503676799999,651830.88005250,2534,1175.79502000,391087.11013330,0
1503676800000,335.29000000,338.28000000,325.42000000,328.71000000,751.25954000,1503691199999,250215.01805160,703,126.14582000,42092.60435190,0
1503691200000,329.91000000,332.27000000,324.90000000,327.24000000,691.65062000,1503705599999,227227.71404250,701,108.11619000,35687.86596070,0
1503705600000,327.24000000,332.27000000,323.41000000,323.46000000,569.57801000,1503719999999,186192.65978120,669,113.40231000,37257.76355780,0
1503720000000,323.46000000,329.69000000,323.41000000,327.90000000,1070.69850000,1503734399999,348905.00363070,752,133.28904000,43658.61316800,0
1503734400000,328.45000000,331.25000000,326.69000000,327.89000000,856.54100000,1503748799999,281625.53369690,704,197.71529000,65340.75306800,0
1503748800000,328.25000000,335.44000000,324.06000000,327.00000000,940.58482000,1503763199999,309311.33542430,759,231.94419000,76581.12439940,0
1503763200000,327.01000000,334.17000000,326.70000000,331.19000000,803.00095000,1503777599999,264634.26109970,946,155.99360000,51763.36782250,0
1503777600000,332.68000000,334.17000000,329.33000000,330.79000000,637.28193000,1503791999999,211325.58368380,570,109.65212000,36530.64108460,0
1503792000000,332.18000000,338.28000000,330.79000000,331.62000000,1056.62234000,1503806399999,352807.93152930,1063,321.08828000,107431.76611210,0
1503806400000,334.50000000,338.29000000,331.49000000,332.77000000,689.16680000,1503820799999,230458.17597410,825,201.06920000,67504.45518110,0
1503820800000,332.77000000,338.42000000,330.73000000,333.94000000,857.24989000,1503835199999,286668.41489840,1075,270.24722000,90883.84377690,0
1503835200000,333.93000000,336.99000000,331.88000000,334.67000000,665.54231000,1503849599999,222379.46174500,722,125.57197000,42149.52137870,0
1503849600000,335.04000000,341.47000000,332.97000000,339.64000000,795.13177000,1503863999999,267858.08803710,710,165.71474000,56029.27718690,0
1503864000000,341.47000000,348.13000000,337.12000000,348.13000000,571.72404000,1503878399999,194305.28597640,578,82.50888000,28131.25156290,0
1503878400000,348.11000000,351.00000000,343.44000000,343.44000000,740.63428000,1503892799999,256788.41966890,798,302.95491000,105299.25802120,0
1503892800000,343.43000000,343.69000000,331.95000000,338.77000000,1139.94898000,1503907199999,385140.95727990,1142,166.38684000,56276.12913650,0
1503907200000,340.89000000,342.86000000,336.54000000,341.90000000,636.04761000,1503921599999,215944.25802370,646,134.98637000,46000.59201610,0
1503921600000,339.62000000,347.41000000,339.34000000,341.83000000,587.29518000,1503935999999,201555.72014680,729,154.42150000,53171.78647440,0
1503936000000,341.83000000,347.42000000,340.49000000,344.30000000,759.06227000,1503950399999,260744.58976980,743,226.86959000,78170.18599120,0
1503950400000,342.54000000,348.50000000,342.16000000,346.00000000,416.19338000,1503964799999,143584.22421500,468,128.64358000,44556.03727090,0
1503964800000,347.00000000,353.23000000,346.00000000,350.03000000,276.84576000,1503979199999,96919.41614150,427,138.78391000,48662.10394170,0
1503979200000,351.19000000,360.79000000,350.02000000,354.18000000,381.62720000,1503993599999,136061.14433510,460,193.75138000,69262.22006160,0
1503993600000,354.17000000,367.13000000,354.01000000,356.75000000,463.44028000,1504007999999,167344.67921440,588,124.88211000,45222.50216240,0
1504008000000,358.10000000,367.40000000,358.10000000,364.57000000,737.95570000,1504022399999,268017.18454370,671,195.88041000,71294.57052050,0
1504022400000,365.74000000,373.66000000,362.79000000,367.44000000,694.84255000,1504036799999,256043.25195070,629,147.18369000,54494.22482200,0
1504036800000,367.44000000,377.60000000,367.36000000,374.70000000,477.42276000,1504051199999,177683.94439550,490,122.68634000,45833.18896110,0
1504051200000,374.70000000,377.80000000,367.37000000,373.00000000,344.29846000,1504065599999,128183.33047330,577,130.46594000,48532.94374300,0
1504065600000,373.00000000,393.71000000,372.92000000,378.14000000,452.43879000,1504079999999,173898.68963420,464,155.05994000,59987.69019940,0
1504080000000,378.16000000,384.33000000,362.05000000,375.90000000,1349.92146000,1504094399999,499901.78378010,1317,320.61629000,119299.44503300,0
1504094400000,373.01000000,385.33000000,370.49000000,379.38000000,1027.51160000,1504108799999,388806.51535870,1153,252.01816000,95637.39989200,0
